pk_tag_id,tag_text,tag_emoji,emoji_unicode,emoji_img_url,tag_sort,fk_cat_id
tag-05-021,Hungary,🇭🇺,1f1ed-1f1fa,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ed-1f1fa.png,22,cat-05
tag-05-022,Iceland,🇮🇸,1f1ee-1f1f8,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ee-1f1f8.png,23,cat-05
tag-05-023,India,🇮🇳,1f1ee-1f1f3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ee-1f1f3.png,24,cat-05
tag-05-024,Indonesia,🇮🇩,1f1ee-1f1e9,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ee-1f1e9.png,25,cat-05
tag-05-025,Iran,🇮🇷,1f1ee-1f1f7,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ee-1f1f7.png,26,cat-05
tag-05-026,Ireland,🇮🇪,1f1ee-1f1ea,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ee-1f1ea.png,27,cat-05
tag-05-027,Israel,🇮🇱,1f1ee-1f1f1,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ee-1f1f1.png,28,cat-05
tag-05-028,Italy,🇮🇹,1f1ee-1f1f9,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ee-1f1f9.png,29,cat-05
tag-05-029,Jamaica,🇯🇲,1f1ef-1f1f2,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ef-1f1f2.png,30,cat-05
tag-05-030,Japan,🇯🇵,1f1ef-1f1f5,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ef-1f1f5.png,31,cat-05
tag-05-031,Kazakhstan,🇰🇿,1f1f0-1f1ff,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f0-1f1ff.png,32,cat-05
tag-05-032,Kenya,🇰🇪,1f1f0-1f1ea,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f0-1f1ea.png,33,cat-05
tag-05-033,Kiribati,🇰🇮,1f1f0-1f1ee,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f0-1f1ee.png,34,cat-05
tag-05-034,Kyrgyzstan,🇰🇬,1f1f0-1f1ec,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f0-1f1ec.png,35,cat-05
tag-05-035,Madagascar,🇲🇬,1f1f2-1f1ec,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f2-1f1ec.png,36,cat-05
tag-05-036,Malaysia,🇲🇾,1f1f2-1f1fe,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f2-1f1fe.png,37,cat-05
tag-05-037,Mexico,🇲🇽,1f1f2-1f1fd,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f2-1f1fd.png,38,cat-05
tag-05-038,Morocco,🇲🇦,1f1f2-1f1e6,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f2-1f1e6.png,39,cat-05
tag-05-039,Mozambique,🇲🇿,1f1f2-1f1ff,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f2-1f1ff.png,40,cat-05
tag-05-040,Myanmar,🇲🇲,1f1f2-1f1f2,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f2-1f1f2.png,41,cat-05
tag-05-041,Nepal,🇳🇵,1f1f3-1f1f5,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f3-1f1f5.png,42,cat-05
tag-05-042,Netherlands,🇳🇱,1f1f3-1f1f1,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f3-1f1f1.png,43,cat-05
tag-05-043,Nigeria,🇳🇬,1f1f3-1f1ec,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f3-1f1ec.png,44,cat-05
tag-05-044,North Korea,🇰🇵,1f1f0-1f1f5,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f0-1f1f5.png,45,cat-05
tag-05-045,Norway,🇳🇴,1f1f3-1f1f4,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f3-1f1f4.png,46,cat-05
tag-05-046,Panama,🇵🇦,1f1f5-1f1e6,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f5-1f1e6.png,47,cat-05
tag-05-047,Philippines,🇵🇭,1f1f5-1f1ed,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f5-1f1ed.png,48,cat-05
tag-05-048,Portugal,🇵🇹,1f1f5-1f1f9,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f5-1f1f9.png,49,cat-05
tag-05-049,Puerto Rico,🇵🇷,1f1f5-1f1f7,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f5-1f1f7.png,50,cat-05
tag-05-050,Romania,🇷🇴,1f1f7-1f1f4,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f7-1f1f4.png,51,cat-05
tag-05-051,Russia,🇷🇺,1f1f7-1f1fa,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f7-1f1fa.png,52,cat-05
tag-05-052,South Korea,🇰🇷,1f1f0-1f1f7,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f0-1f1f7.png,53,cat-05
tag-05-053,Spain,🇪🇸,1f1ea-1f1f8,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ea-1f1f8.png,54,cat-05
tag-05-054,Sweden,🇸🇪,1f1f8-1f1ea,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f8-1f1ea.png,55,cat-05
tag-05-055,Syria,🇸🇾,1f1f8-1f1fe,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f8-1f1fe.png,56,cat-05
tag-05-056,Tajikistan,🇹🇯,1f1f9-1f1ef,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f9-1f1ef.png,57,cat-05
tag-05-057,Turkey,🇹🇷,1f1f9-1f1f7,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f9-1f1f7.png,58,cat-05
tag-05-058,Turkmenistan,🇹🇲,1f1f9-1f1f2,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1f9-1f1f2.png,59,cat-05
tag-05-059,UK,🇬🇧,1f1ec-1f1e7,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ec-1f1e7.png,60,cat-05
tag-05-060,USA,🇺🇸,1f1fa-1f1f8,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1fa-1f1f8.png,61,cat-05
tag-05-061,Uzbekistan,🇺🇿,1f1fa-1f1ff,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1fa-1f1ff.png,62,cat-05
tag-05-062,Vatican City,🇻🇦,1f1fb-1f1e6,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1fb-1f1e6.png,63,cat-05
tag-05-063,Vietnam,🇻🇳,1f1fb-1f1f3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1fb-1f1f3.png,64,cat-05
tag-05-064,Zambia,🇿🇲,1f1ff-1f1f2,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ff-1f1f2.png,65,cat-05
tag-05-065,Zimbabwe,🇿🇼,1f1ff-1f1fc,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f1ff-1f1fc.png,66,cat-05
tag-06-001,Reviewed,📝,1f4dd,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f4dd.png,1,cat-06
tag-07-001,Cundhill prize winner,🥇,1f947,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f947.png,2,cat-07
tag-07-002,PHB 5 stars award,⭐,2b50,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/2b50.png,3,cat-07
tag-07-003,Wolfson prize winner,🏆,1f3c6,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f3c6.png,4,cat-07
